dataset_label,source_or_family,format,json_top_level_type,candidate_record_path,exact_record_count,estimated_record_count,field_path,inferred_scalar_type,null_count,null_rate,unique_count_or_status,min_string_length,median_string_length,max_string_length,language_script_profile,candidate_text,candidate_id,candidate_metadata,name_suggests_korean,name_suggests_english,name_suggests_source_target_original_translation,name_suggests_cleaning_normalization,evidence_status
LOCAL_DIR_026,TRAIN_KO_TO_EN,JSON,object,root.data[*],1200144,1200144,root.data.target_language,"{""string"": 1200144}",0,0.0,1,2,2,2,,False,False,True,False,False,True,False,LOCAL_OBSERVED
LOCAL_DIR_026,TRAIN_KO_TO_EN,JSON,object,root.data[*],1200144,1200144,root.data.word_count_en,"{""integer"": 1200144}",0,0.0,NOT_COMPUTED_HIGH_CARDINALITY,,,,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_026,TRAIN_KO_TO_EN,JSON,object,root.data[*],1200144,1200144,root.data.word_count_ko,"{""integer"": 1200144}",0,0.0,NOT_COMPUTED_HIGH_CARDINALITY,,,,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_026,TRAIN_KO_TO_EN,JSON,object,root.data[*],1200144,1200144,root.data.word_ratio,"{""number"": 1200144}",0,0.0,NOT_COMPUTED_HIGH_CARDINALITY,,,,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_026,VALID_KO_TO_EN,JSON,object,root.data[*],150018,150018,root.data.data_set,"{""string"": 150018}",0,0.0,1,6,6,6,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_026,VALID_KO_TO_EN,JSON,object,root.data[*],150018,150018,root.data.domain,"{""string"": 150018}",0,0.0,5,2,2,4,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_026,VALID_KO_TO_EN,JSON,object,root.data[*],150018,150018,root.data.en,"{""string"": 150018}",0,0.0,150018,11,173,635,"{""digit"": 0.01125713, ""emoji_symbol"": 1.646e-05, ""hangul"": 8.59e-06, ""latin"": 0.81440951, ""other"": 0.00018503, ""punctuation"": 0.02006758, ""whitespace"": 0.15405569}",True,False,False,False,True,False,False,LOCAL_OBSERVED
LOCAL_DIR_026,VALID_KO_TO_EN,JSON,object,root.data[*],150018,150018,root.data.file_name,"{""string"": 150018}",0,0.0,NOT_COMPUTED_HIGH_CARDINALITY,10,13,15,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_026,VALID_KO_TO_EN,JSON,object,root.data[*],150018,150018,root.data.included_unknown_words,"{""boolean"": 150018}",0,0.0,NOT_COMPUTED_HIGH_CARDINALITY,,,,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_026,VALID_KO_TO_EN,JSON,object,root.data[*],150018,150018,root.data.ko,"{""string"": 150018}",0,0.0,150018,7,77,295,"{""digit"": 0.02785255, ""emoji_symbol"": 0.00019236, ""hangul"": 0.69085945, ""latin"": 0.0202774, ""other"": 0.00034064, ""punctuation"": 0.03784259, ""whitespace"": 0.22263502}",True,False,False,True,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_026,VALID_KO_TO_EN,JSON,object,root.data[*],150018,150018,root.data.ko_original,"{""string"": 150018}",0,0.0,NOT_COMPUTED_HIGH_CARDINALITY,7,77,295,,True,False,False,True,False,True,False,LOCAL_OBSERVED
